,choose_one,text_no_rt,user
726,Informative (Indirect),WATCH LIVE TORNADO ON THE GROUND IN SOUTHERN COOK OK . http://hurricanetrack.webs.com/hurricanetracktv.htm, 
727,Personal only,Uh...tornado sirens decide to go off while im shopping for an awards dress? Great..., 
728,Personal only,Joplin Tornado Relief - Read this post on how you can help this week! http://bit.ly/mDJoplin #ascc, 
729,Informative (Direct or Indirect),Bismillah tornado warning.. Dear God doont let us be Missouri the 2nd .., 
730,Informative (Indirect),Oh lord the death toll is rising RT @cnnbrk: Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
731,Informative (Indirect),New tornado watch until 3am CDT for western MO.  Includes #Joplin.  More info: http://wxch.nl/k6CgxX, 
732,Other,Suman 122 muertos y 750 heridos por el tornado histÃƒÂŒ_rico en Misuri:, 
733,Other,Muertes por tornado en Misuri se elevan a 122: El nÃƒÂŒÃ‚Â¼mero de muertos por ... http://bit.ly/j6rClU #Cuba #Noticias #USA, 
734,Informative (Indirect),Okay CNN has brought Michael Brown former FEMA director on to discuss #Joplin response.  #insulting, 
735,Informative (Indirect),Tornado Kills 89 in Missouri. http://t.co/JfJqlfl, 
736,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
737,Informative (Direct or Indirect),Tornado sirens in Lewisville! Women children and pets to the closet. Men run outside to see the tornado.  http://twitpic.com/524hif, 
738,Informative (Direct or Indirect),First Baptist Church in Piedmont opening up as shelter...please help get word out! #okwx, 
739,Informative (Indirect),Tornado Warning until 08:15 PM CDT issued for Mitchell County  http://bit.ly/btQnZB #KSwx #KSstorms, 
740,Informative (Direct),Tornado on the ground near Springtown, 
741,Personal only,Gettin ready for a possible tornado..keep the 4 states area in ur prayers, 
742,Informative (Direct or Indirect),Tornado spotted near Dickson.., 
743,Informative (Direct or Indirect),Northern Dallas County you need to prepare to take tornado precautions soon as this storm will move towards you. #txwx, 
744,Informative (Indirect),Tornado watch issued for Joplin Mo area where at least 124 people died in a twister Sunday. Via @cnnbrk, 
745,Personal only,Praying for the people affected by the tornado in Missouri., 
746,Informative (Direct or Indirect),Joplin just went under a tornado watch until 3am...storms South and West of Tulsa right now...7:43pm  70mph wind gusts Mannford W of Tulsa, 
747,Personal only,Tornado warning here in northern Tarrant County - blankets and pillows in my closet ... Just in case, 
748,Informative (Direct),Just finished meeting with the Samaritan's Purse lead team. These people are the real deal. Amazing! #Joplin #tornado, 
749,Informative (Indirect),Those in the #ozarks you are in a TORNADO WATCH this DOES include the cities of #joplin and #springfield until 3am #mowx, 
750,Personal only,everyone in #chs tonight stop by @upperdecktavern and drop some dollars to support Joplin tornado victims! @jeffet @therea ..., 
751,Informative (Direct or Indirect),TORNADO WARNING| Small Children Babies Trapped @ Four Corners| Live Feed Update RT AND @GOPLeader says NO HELP TILL we get C ..., 
752,Informative (Direct or Indirect),Watauga Keller Colleyville take cover Tornado headed your way, 
753,Personal only,The only thing faster than the Joplin tornado is Kyle Busch. #toosoon, 
754,Personal only,Praying for Joplin Mo and OK tornado victims ......, 
755,Informative (Direct or Indirect),Tornado is ON THE GROUND along Jacksboro Highway in Azle. Take shelter!, 
756,Informative (Direct or Indirect),@paulwalker47  #Fans  #ROWW.org needs #Donations so that they can deploy a team to #Joplin. Plz #Donate & RT #HelpJoplin.. Thnx, 
757,Informative (Direct),Our onboard radar is picking up 161mph shear! Never seen it that high. Very bad tornado. Proceeding to Perkins. http:// ..., 
758,Informative (Direct or Indirect),Tornado Watch now for entire metro area.  Just issued., 
759,Informative (Direct or Indirect),My heart is breaking for folks in #Joplin. Help Find Michael Hare's son! http://tinyurl.com/3or25ts, 
760,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
761,Informative (Direct),Just took cover...damn Tornado landed about 15 minutes ago. Sirens and alarms are going off like crazy., 
762,Informative (Direct),Keller Texas- Storms. Hail. Tornado Sirens. Rain. Thunder. Lightning. #scary, 
763,Other,Important: @Redcross & #Joplin MO needs your help! Txt REDCROSS to 90999 to donate or online help at http://bit.ly/eZJ ..., 
764,Informative (Direct or Indirect),Tornado Box now issued for KC metro area (including Leavenworth Wyandotte Johnson).  Thinking here is that primary threat will still be..., 
765,Informative (Direct),Tornado sires are sounding in #Bartlesvill #Oklahoma. Be prepared., 
766,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
767,Informative (Direct or Indirect),Tornado warning for north west Denying county! If you live in or near Roanoke Justin or Ponder please seek shelter!, 
768,Informative (Direct or Indirect),Collin County prepare to take tornado precautions shortly. #txwx, 
769,Personal only,Welp!! Tornado Warning till 8:15pm, 
770,Informative (Indirect),q2 @USAToday says the tornado in Joplin was one of the deadliest in history.  #agchat, 
771,Informative (Indirect),People of Joplin MO reunite this family: http://bit.ly/lYGObg #JoplinMO #joplintornado #lostpetsjoplinMO, 
772,Informative (Direct or Indirect),Tornado Warning for the northern parts of Ft. Worth TX. #txwx, 
773,Informative (Direct or Indirect),RT @liberalchik: storm prediction center in norman ok  evacuated (That can't be good.) #tornado, 
774,Informative (Direct or Indirect),Maybe the #rapture is only happening in #Joplin MO. Another tornado on the way., 
775,Informative (Indirect),@CNN how can people just disappear after tornado in joplin. 1500 unaccounted for where r they?, 
776,Informative (Direct or Indirect),#Joplin tornado was EF5. They call it The Finger Of God. 6 miles long 1800 acres of destruction 1500 missing 122  ..., 
777,Informative (Direct or Indirect),Tornado 2 miles west of Azle at 7:38!, 
778,Personal only,Ughhh don't say that!!! RT @Ty_SoFly: Danville Tornado Watch, 
779,Informative (Direct),#Joplin sad sight. My late Gpa's house - Murphy Blvd b/t 15th & 20th. My uncle hid under a wheelchair ramp. Alive. h ..., 
780,Informative (Direct or Indirect),Tornado Watch now for entire metro area.  Just issued., 
781,Personal only,please pray for the tornado victims.. PLEASE.., 
782,Informative (Direct or Indirect),Tornado Warning for Arlington #rangers, 
783,Other,We have created a website to help provide information and continuous coverage of the deadly tornado that ravaged... http://fb.me/BALIDYnA, 
784,Personal only,"News1 new result for """"Donating"""" """"A Car""""ÃƒÂ¥ÃƒÂŠRotarians reach out to help tornado victims in Missouri USARotary Inter... http://bit.ly/klShd5", 
785,Informative (Direct or Indirect),Tornado on the ground near Azle...., 
786,Informative (Direct),This weather is scary. Hot cloudy and windy. Dang tornado weather..., 
787,Informative (Indirect),=( RT @debdobson: RT @stevenportnoy: NOAA says the #Joplin tornado was an EF-5 the 8th deadliest tornado on record., 
788,Informative (Direct),The tornado that hit Fairview.  http://t.co/zVHpEUp, 
789,Personal only,Hoping to do a Joplin tornado relief fundraiser. #prayforJoplin., 
790,Informative (Direct),@rqskye:  #DEWEY #OK - SIRENS ARE GOING OFF!! TAKE COVER NOW. #okwx, 
791,Informative (Direct or Indirect),RT @blinke: 70mph inflows reported on 820 in Ft. worth! #tornado #txwx, 
792,Personal only,Ordered a pizza. #Selfish #Tornado, 
793,Personal only,@RichBoyMagnet is the beginning of tornado season tho. and the midwest is tornado alley., 
794,Informative (Direct or Indirect),You must be in a place of safety in Northern Tarrant county right now this is an extremely dangerous situation. #txwx, 
795,Personal only,@christoferdrew be sure that all your fans are praying for #JOPLIN :) We Love You and We support you! :D, 
796,Informative (Direct or Indirect),MT @wxrisk OK:line of tornado warned storms approaching Tulsa within 1 hour. be prepared to take shelter. #okwx #tulsa, 
797,Informative (Direct or Indirect),My pics & such will be on @WGNTV & CLTV.  Make sure to watch @Skilling tonight at 9 & Duffy Atkins on the 1s.  #tornado #Oklahoma #Chicago, 
798,Informative (Indirect),Tornado Warning for the northern parts of Ft. Worth TX., 
799,Informative (Direct or Indirect),Tornado Warning for the northern parts of Ft. Worth TX., 
800,Informative (Direct or Indirect),Tornado Warning for the northern parts of Ft. Worth TX., 
801,Informative (Direct or Indirect),Parker and Tarrant TORNADO WARNING UNTIL 8:15, 
802,Informative (Direct or Indirect),Circulation detected near Harjo n of Maud and s of Earlsboro be prepared to take your tornado precautions. #btcprayers, 
803,Personal only,Kinda fixated on the Weather Channel tonight. Live streaming tornado chases in multiple areas. Crazy., 
804,Informative (Direct),Found a solid looking brick bldg in #joplin to hide behind. We'll do broadcast from here. Worried winds could flip o ..., 
805,Informative (Direct or Indirect),CORRECTION Tornado watch for the entire KC Metro until 3 AM, 
806,Informative (Indirect),@AngEngland the weather channel is showing Atoka is in the back of a storm coming from Ardmore area..possible tornado..Over Madill right now, 
807,Personal only,Pics just continue to amaze!! RT @NiaNoelle: A picture of the tornado in my moms neighborhood http://twit ..., 
808,Informative (Indirect),FWD: EmergencyStream: LIVESTREAM: TORNADO WARNINGS IN TEXAS. LIVE AERIAL SHOTS NOW HERE: http://bit.ly/fVckZ0, 
809,Informative (Direct or Indirect),7 dead in Oklahoma so far...#tornado, 
810,Informative (Direct or Indirect),More tornado deaths. This time in Oklahoma. SAD trend..., 
811,Informative (Direct or Indirect),Storm is moving into Sand Springs.. wind could gust as high as 90mph.  Heed warnings..  #okwx, 
812,Informative (Indirect),"Latest NOAA U.S. #Tornado #Watch """"regions"""" - growing - http://1.usa.gov/7K0gut", 
813,Informative (Indirect),TORNADO WARNING [ Ellsworth KS ][ Lincoln KS ] Expires: Tue May 24 21:30 EDT #SVRAlert, 
814,Informative (Direct),In case y'all wondered what tornado weather looked like. http://twitpic.com/5243sm, 
815,Personal only,Omg if the tornado interrupts Glee I will be pissed. D:, 
816,Informative (Indirect),MacIntosh: Joplin tornado hit close to home: On April 22 the airport North St. Louis County and New Melle Mo.... http://bit.ly/lXKEQK, 
817,Personal only,Cuddling Weather.....Unless A Tornado Smack Our Ass, 
818,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
819,Informative (Direct or Indirect),Tornadic type damage in OKC at SW 89tg and Santa Fe. Utility pokes down insulation and drywall everywhere and uprooted trees.  #okwx., 
820,Informative (Direct or Indirect),Tornado: X rays found 70 miles away [ Holy Moly, 
821,Informative (Direct or Indirect),A tornado watch has just been issued for Joplin, 
822,Informative (Indirect),Maps & Advisory #Oklahoma:Strong #Tornadoes Outbreak (as of 5/24/11 7PM Local) Plan Shelter Now http://1.usa.gov/kGKg ..., 
823,Informative (Indirect),@txstormchasers:  #Tornado outbreak beginning in North Texas. #txwx, 
824,Informative (Indirect),Amazing video from Oklahoma City where a powerful tornado tonight.  At least 7 people are dead the developing story on WJZ News @11pm., 
825,Informative (Indirect),Tornado in El Reno Ok minutes ago: http://youtu.be/roX4msxfs_w  #OKw, 
826,Personal only,Our cry for #MERCY! #Oklahoma #JOPLIN, 
827,Personal only,Outside just chilling with the Tornado winds. Freaked out? Nah. Nbd., 
828,Informative (Indirect),crazy footage of #tornado damage in #okwx on #CNN and #WeatherChannel live feeds., 
829,Informative (Direct or Indirect),Tornado reported in Denton County Texas near I-35 W and FM 407., 
830,Personal only,Really? a one minute tornado siren? are we that desperate for storms in DFW? #fb, 
831,Personal only,See hommies nothing to worry about! #Oklahoma #tornado, 
832,Informative (Direct),Blaaahhs tornado warningg forr Kansas City.. imms takingg cover.., 
833,Informative (Direct or Indirect),TORNADO ON THE GROUND NEAR AZLE, 
834,Informative (Indirect),Tornado Kills 2 in Suburban Oklahoma City http://nyti.ms/mBlCCZ, 
835,Informative (Indirect),For real-time tornado coverage follow @baxterholmes, 
