,the_author_of_the_tweet_seems_to_be_an_eye_witness_of_the_event,tweet_no_rt,user
1238,,FOUR FOR YOU HURRICANE SANDY! YOU GO HURRICANE SANDY! AND NONE FOR HURRICANE IRENE BYE.,kendalltiara
1239,,NYC Websites Running On Fumes In Wake Of Superstorm Sandy: In the age of cloud computing it's an arch... http://t.co/JUxHEbl4 from @rww,Papr8tzi
1240,,Sandy? Never heard of her.,PresidentPeddie
1241,,"@Sunshine_H_ La Otra es """"Sandy & Papo"""" pero eso es maÃ­Â±ana jajaja &gt; http://t.co/TshexKN1",AlejandroSig
1242,,Rice and SB are both canceled tomorrow... Come on CVU #Sandy,LucianBedard
1243,,NYC Sandy updates: Coney Island hospital reported to be on fire; NYU hospital evac in progress; building collapse video http://t.co/iX1XxgUE,Hedytf
1244,,Hope everyone is safe after Hurricane Sandy!,DCIStudio
1245,,search for open shelters by texting SHELTER+ a zip code to 43362 (4FEMA). Ex: Shelter 01234 (std rates apply) #Sandy,GiaIbarra
1246,,3/ Before you get all sad about it - that's enough to keep food refrigerated - a vital life saving thing in light of hurricane Sandy,TTBolton
1247,,Its the 2012 #nyc blackout.NOT effin cool#sandy http://t.co/sz04HsNZ,infamousRico
1248,,So sad to hear of the devastation on the #EastCoast #Sandy Sending thoughts and prayers!,KAB_19
1249,,New Video: Celebrities React to Hurricane Sandy Aftermath http://t.co/PzRPCscg,ViewCave
1250,True,LOOK: An MTA photo shows a subway station after it was flooded by seawater during #superstorm #Sandy: http://t.co/J5vmUsA1,airinrr9
1251,,To donate $10 for victims & areas hit by Sandy text the number 90999 with the word REDCROSS. Will be deducted from your wireless bill.,bminarro
1252,,Here's Proof That Hurricane Sandy Is Nothing Like Irene http://t.co/P6ROQvzj RT @mashable,myhong08
1253,,Actually I'm kinda happy because of the hurricane #sandy lots of ppl started to get scared of me ;) #yessss :D,sandyeskarouse
1254,,Praying for everyone to be safe in the storm... #Sandy,eivorerbest
1255,,@oliviameisl I fear that either you missed the sandy joke or worse you thought it wasn't funny,i_am_called_ben
1256,,"Where do birds go during a storm like #sandy? -- Read ""Shelter From The Storm"" for answers by @KStJBirdblog http://t.co/1ponYDfF",Rae_Guez
1257,,@SunnySanders6 D:&lt; evil Sandy!!!!,jennisaurus
1258,True,Tomb guards. Incredible. #Sandy http://t.co/DVgyNwhp,Emiiiilly_
1259,,A cubic yard of water weighs almost 1700 pounds #sandy,davegobe
1260,,@labellafabio: Uragano #Sandy http://t.co/maF8HK3k pray for NYC ./,alii_cab
1261,,"He's grasping @ straws?RT """"@PerezHilton: @Barackobama Preacher Blames Hurricane Sandy On Obama And Romney's Gay Love?! http://t.co/WSlqLQu8""""",KylieCious
1262,,New York City taxis are pictured on a flooded street... http://t.co/wBC33u9t #Sandy #Frankenstorm #Hurricanesandy #NYC #Nyse via @starvpan,rightnowio_feed
1263,,"Ã¤Ã³Ã¬@earv_gotit: Well someone go out their & talk to sandy """"Ã¤Ã³Â what you want me to tell her?",Mims_stacks
1264,,Where do people find these cans of food anyway? #mittstormtips #sandy,EduEse_
1265,,Update on #Sandy in about 15 minutes. Stay tuned to http://t.co/pzWEzMcp,beannaichte
1266,,It's so boring to sit at home when #sandy is outside_Ã´Ã«_Ã¤Ã–Ã®,JuliaKolchina
1267,,Praying for all those states and people that maybe affected by hurricane #Sandy,Born_Different_
1268,,NYC espera a #Sandy http://t.co/CvhTStqc,aranamer
1269,True,Next to my studio. Water everywhere. #sandy http://t.co/f6crXq0s,LegitViva
1270,True,There are NYC train stations filled with water to the ceiling... #Sandy,QuespiracyQ
1271,,#NYC ALERT: PPL in Staten Island are in desperate need of help. There's widespread flooding/multiple fires burning. #HelpStatenIsland #Sandy,Din_SFLA
1272,,If you exp. any delays calling the Trevor Lifeline due to #Sandy and need immediate help please call @800273TALK,joepas_tweets
1273,,Waiting for Hurricane Sandy to hurry up n pass and wishing a safe flight for my aunt and cousin coming to CT from FL on Wednesday.,wilmarielopez
1274,,Vuelos a new york y miami cancelados por huracan sandy...,ivonnenunezb
1275,,Yo #Sandy needs to comme des fuck down,GreatOmarJones
1276,,Sandy wouldn't be here if Patrick would've just stopped making fun of Texas.,ryanwiechman
1277,True,Live coverage of storm #Sandy http://t.co/Iizwuago,rashidaldosari
1278,,5 different radars in the NYC/Philly areas all indicate winds over 105 mph just 5000 feet above ground level. #Sandy,ashleydoc
1279,True,Unbelievable photo taken JUST NOW of #NYC getting ready for #Sandy http://t.co/Ir2C8vEG,WhoIsMikeO
1280,,L'eau envahi New York.. #Sandy http://t.co/hbAA17E3,mhaile974
1281,,Nyc schools are also closed tomorrow! #hurricane #Failure #fuckyousandy #HurricaneSandy #sandy #hype,Esther_Leah_
1282,,Damn man. I'm super tired for no reason. #sandy was POOP. Like Harrisburg was all paranoid an shit. Nothing even happened. #teamFUCKSANDY,TheDopest_16
1283,True,Still taking care of business... Bills have to be paid. These companies don't care about Sandy,YungCity_NY
1284,,NY Gov. Cuomo: Heaviest weather expected as early as 6pm ppl should get to a safe place | http://t.co/Kibluzrp #Sandy,MHaroutunian
1285,,Ã¤Â»Ã§Â’Â‡ RT @Reuters: Eighteen deaths in New York City because of #Sandy --Mayor Bloomberg,FutaimKH
1286,True,'This Is the Apocalypse' Video Shows #Sandy Destruction http://t.co/nSZXanj4,IamSim0n
1287,,Mayor Bloomberg: 670000 New Yorkers without power. #Sandy #NYC,binbinaaa
1288,,So sad. - In Haiti Hurricane Sandy Leaves Behind Death and Devastation http://t.co/3HYUNXOr,jallan19
1289,,We're dry & safe at ThinkGeek HQ in Fairfax VA--but not everyone's so lucky. Why we just donated $1k to @RedCross: http://t.co/8Zija174,j616s
1290,,uh-oh. Princeton Eyecare is closed. Now it's official. #sandy,aphofer
1291,,NYC folks itching to get back to work walk over the Brooklyn Bridge after #Sandy: http://t.co/Wri95bJm,NJdoc
1292,,#Sandy power outages are occurring as far west as northwest Indiana and southwest Michigan. Winds gusting to 40+ mph there now.,ottermama13
1293,,Wildfeed of Hurricane Sandy Lower Manhattan New York Under Water!!!: http://t.co/zcuPfqZ5 Ã£Â _Ã‹______Ã£ÂŠÃ£Ã«Ã£_ @youtube,EvelynVasilyeva
1294,,Skeletal Remains Found In Upended Tree due to #Sandy; The Death Investigator Exhumes Skull http://t.co/T39qS0BS,adam___bomb
1295,,#sandy,VivaMinelly
1296,,Sandy will be here within an hour.,RetweetThisDick
1297,,#hurricanesandy #sandy #theperfectstorm #1991 scary part is the days match up...3 days before halloween...st http://t.co/itQUBxEC,freddie_bulger
1298,,@AP: AP Video: Major damage is shown in New York City after #Sandy: http://t.co/WOUR5EtR -RAS @ChasingNJ,paulporowski
1299,,plain white t's bettter do something sandy is fucking shit up in nyc delilah probably dead,asoggycarrot
1300,,Russell Simmons on NYC Homeless -- 'They're F**ked' [Video] http://t.co/PEpJ3CIl,MarTy_So_McFly
1301,,@katehayden223 how are ya holding up? #sandy,DaJozw
1302,,Bon les jeux de mots avec Atlantic City et Atlantide Ã­_a va faire ! #comeon #Sandy,Ariane_TB
1303,,Shelter 'struggling' to house homeless kids http://t.co/xEuN37Ns,jessicalduke
1304,,Ã¤Ã³Ã¬@autumrose: Thanks @timguinee & David Lyons for supporting @arccapefear Sandy response. @nbcrevolution http://t.co/512BesT1Ã¤Ã³Â Our pleasure.,WilmOnFilm
1305,,Sandy Please Don't Harm My Home :( NYC forever in my heart.....Ã¤Â__Ã´Â»Â,VEEsays
1306,,She fuckin up everyones money RT @childsaint: Hurricane Sandy fucking up my money man,_ChristleMETH
1307,,No ways this is a punk. RT @_JadieBabey_: Hurricane Sandy hitting #NYC http://t.co/3vMefqJQ,NapePhasha
1308,,Ã¤Ã³Ã¬@laurenobern: 'Superstorm Sandy'? It sounds like a superhero from the Marvel Universe...Ã¤Ã³Â though more of a villain me thinks! #Frankenstorm,laurenobern
1309,,Send in your weather pics or your recreation pics to #Pikesville Patch. http://t.co/WSLNO9PJ #Woodlawn #Randallstown #MDSandy,PikesvillePatch
1310,,Decenas de personas en Nueva York acuden al camiÃ­_n de CNN para recargar sus telÃ­Â©fonos #Sandy. ÂŒÃ§Tal es la dependencia! http://t.co/gcP4ztPh,Sonia_Gzlez
1311,,#android This has been said already!!!!!! http://t.co/rBoVypmY,ReneRasmussen10
1312,,@therealsunnista hope you're safe and well in NYC and Sandy hasn't hurt you. Lots of love from across the pond xxxx,missdanesh
1313,,Limited train service resuming in NYC after superstorm Sandy - CBS News - Hindu Business Line Limi... http://t.co/QF2i3M9o,TrendWorldNews
1314,,Twitter braves Hurricane Sandy to speed relief efforts http://t.co/WOuEoCLl,azifph
1315,,R.I.P To The Victims who died In Sandy,___TAKEcare_
1316,,#NY Gov: Limited #NYC subway Metro North LIRR commuter rail service tomorrow. #Sandy,LindaMera
1317,,Scary pics of the hanging crane in NYC. Yikes! Hope it hangs in there (no pun intended). #Sandy,justMissey
1318,,That awkward moment when you realize that in the movie 2012 New York City flooded and now it's 2012 and New York City is flooding. #Sandy,hdsjulian
1319,,Praying for everyone back at home and everywhere else affected by Sandy. #JerseyStrong,kelseyyy_annn
1320,,What does that say about Somalia's situation? MT @malonebarry: Shabaab tweeting about #Sandy..for crimes against Islam https://t.co/gWyhhSpz,TheLostJ
1321,True,Closed 6th Ave. at CPS because of damaged crane #sandy #nyc http://t.co/Sxkwj4kT,nickbdotcom
1322,,@BHAlSalman @SM_ALAWI @AmnestyAR Here's our latest blog on #homelessness and Hurricane Sandy http://t.co/0w6iqUzY,SAWWORLDWIDE
1323,,Hurricane Sandy will cross the path of 60 million people. That's more than the population of South Africa. #PrayForTheEastCoast,riellypopoff
1324,,Russell Simmons on NYC Homeless -- 'They're F**ked' http://t.co/gAWUd6VC,DUMBASSCELEBS
1325,,I wish pple would shutup about Sandy being a hype Just because it didn't affect u thank God because it affected others elsewhere be grateful,Simplicity0710
1326,,Clear eyes full heats climate change denier #Sandy #RomneyStormTips,jisherr
1327,,Kanye west is safe from #sandy.. thanx to kim kardashians hug ass,bemufc
1328,,I would like to thank Sandy my main bitch for keeping me out school for these couple of days,Iam_asiamona
1329,,My prayers go out to the victims of hurricane Sandy. God bless everyone in the eastern US.,1stjahilander
1330,,@Philly_Jim @hunterpence @ConanOBrien ~ mrobbing boyzz Banging parkers keeping RF tight ~ &lt;~ #Giants in 5 with #Sandy woulda missed it,Philly_Jim
1331,,Reading LI and NYC horror stories & it bears repeating: Up here in the Hudson Valley we dodged a damn howitzer shell. #Sandy #luckyinPoK,omackson
1332,,#nyc #sandy Uuuuuuuuuuuuu http://t.co/TeTpMgqt,diegodidacview
1333,,State by state guide to Hurricane Sandy - http://t.co/iu21TCI0,BornOnTheBayou9
1334,,Photo: Insane flooding in the #East Village #NYC after #Sandy. Get your breaking Sandy news at http://t.co/w0dJpvR2 http://t.co/tok7YwPi,kissinsmolder
1335,,Hurricanes are like women. At the start they are wild wet and blow hard in the end they just take half your shit. #Sandy,l_chalmers
1336,,Hurricane Sandy party at my crib. Bring Drinks food power bottled water sleeping bags & first aid kits !!!,oliverlovecash8
1337,,Superstorm Sandy kills 35 leaves eight million without power and cancels 12000 flights: FLIGHTS from Glasgow ... http://t.co/KbyZEy6E,UK7BEST
1338,,Hahaha I'm crying watching this news reporter get blown down the street_Ã´Ã–Â‰Ã¤Ã–Ã®Ã¤Ã–ÂÃ¤_Ã§ #sandy,ShacksLovesBud
1339,,Who wants to hang out? #Sandy #Hurricane #NYC #crane,SandyHurriCRANE
1340,,If you missed this nonsense: Ã¤Ã³Ã–Obama caused Hurricane SandyÃ¤Ã³Â» say conspiracy theorists http://t.co/Mp32lIGj,rougepill
1341,,I can't believe this footage of the flooding of the NYC subway system http://t.co/puT1ws65 #sandy,anthonyPp85
1342,,Impactante imagen del HuracÃ­Ã§n Sandy: http://t.co/ZkozJOv8Ã¤Ã³Â,Bart_enfurecido
1343,,Due to Hurricane #Sandy the @90210 episode is postponed until November 5th. Hope everyone is safe up north!,chpp1003
1344,,Oh sandy!!!!! @lynnndsaaay,ashlyn_marie97
1345,,Make them come naija experience real power outage! #Sandy,justreze
1346,,In the dark: much of NYC tonight much of Baghdad nightly since US started bombing 9+yrs ago. #Sandy @wardollarshome @codepink,modernactivism
1347,,OTR Pub Travel Travel Headaches: Sandy Shuts Down Subways Cancels Flights - NPR (blog) http://t.co/1KbUx1ko,OTRpublications
1348,,Hi @AGirlAStyle what did you end up doing last night? I'm writing about making the best of #Sandy for ELLE so let me know!,emrocro
1349,,creative sandy http://t.co/QYL1fzHn,hoyanal
1350,,#Sandy deja 29 muertos; Nueva York sin luz sin transporte y aislada http://t.co/vji5zvnl (AmpliaciÃ­_n),__Sandriitha6
1351,,#prayforUSA : RT if you're here to support all the people who are getting hit by hurricane Sandy http://t.co/Kg4vvbrV,suzySWIMS
1352,,#SANDY oh la grue qui menace de s'effondrer a NYCÃ¤Ã³_pendant ce temps : 51 morts a HaitiÃ¤Ã³_mais y'a pas de beaux buildings a filmerÃ¤Ã³_ah ok !!,arianouchka
1353,,Confused about Sandy...News says the world is endingbut friends in NYC seem to be out shopping/eating out/park/dog walking/having meetings?,stormewg
1354,,Another rainy day activity - create a QR Scavenger Hunt for your students http://t.co/UwZ57pH1 #commoncore #iPaded #edtech #Sandy,jenthomas78
1355,,Dopo il passaggio di #Sandy a New York si fa la conta dei danni. ChissÃ­Ã¦ quanti tecnici rideranno. #twitandshout,giulysua
1356,,Earlier today Google Loves NYC: Adds Hurricane Sandy Crisis Map http://t.co/YGDtbSaW,rustybrick
1357,,Hurricane Sandy Haiti. http://t.co/fiWfyR5v,OxfamScotland
1358,,dubbi alla Holden Caulfield: che fanno gli uccelli durante un uragano? #sandy http://t.co/raaQOmSI,M_DeGiuli
1359,,The Seal took a wee trip to the USA to check out the damage caused by #Sandy Just some flooding no serious danger left http://t.co/NZo0mYKr,Agzygroove
1360,,Be safe y'all Ã¤Ã³Ã¬@tonia_ries: We're officially evacuating Modern Media HQ - heading up hill. Be safe everyone. #sandy #fbÃ¤Ã³Â,MrShri
1361,,Over the next few hours the storm will be at its worst in NYC.. Be safe and stay inside! #Sandy #hurricane #NYC,Leap21
1362,,Hurricane Sandy update: NASCAR likely won't be affected by superstorm: http://t.co/FEAxRDME,sportsworld16
1363,,Sandy has kept me in bed all day!,AnaOnParkAve
1364,,@Cockrel61 Due to the large number of kids and women whose lives are about to get fucked  hurricane Sandy is to be re-named Saville !!!,Cockrel61
1365,,Post Hurricane Sandy in Williamsburg (NYC): http://t.co/UYA8zQWd PHOTOS,IrenePasquetto
1366,,If you haven't seen this picture yet it's awesomeÃ¤Ã³_ Tomb of the Unknown Soldier during Hurricane Sandy http://t.co/GuBhRBpw,UABBravesBama
1367,,Sandy hits European airlines insurers & markets: Hurricane Sandy has had an economic impact well beyond t... http://t.co/mjkMW8Ao #News,amitnimade
1368,,My next #Sandy briefing will be at 5:45 PM (10/30). Watch live on http://t.co/pzWEzMcp,zeynepbekce
1369,,Hurricane Sandy brushes Virginia Carolina crops. #Cotton,chintan2308
1370,,Restoring power after storm #Sandy could take 8 days - New Jersey governor. 29 hospitals lost supplies. Updates LIVE http://t.co/iOaS5AZ4,DustinMorris13
1371,,My thoughts & prayers are with the East Coast of the US today. Stay safe #hurricane #NYC #sandy,KirbyBirch
1372,,Live picture of Hurricane Sandy in America wow. http://t.co/2w9wC5DX,gokermehmet
1373,,"Liking my NYC friends photos this am on Instagram really means ""oh shit I'm so sorry that's crazy!"" #Sandy",MG23_
1374,True,Seems all the praying is working as nothing is happening storm wise in the centre of Manhattan anyway. #storm #sandy #nyc,stephenoreg
1375,,@mkapki aman sandy'e dikkat.,melisozp
1376,,BREAKING: Limited subway service will be restored to 14 of MTA systemÃ¤Ã³Â»s 23 lines tomorrow #sandy @MTAInsider,JHalane11
1377,,All the people in all the cities from North-East America I hope you are all safe and sound and not affected too much by Cyclone Sandy Ã¤Â»Â«,Zakie_21198
1378,,Proud to be a #NYC startup. We love this city and all it stands for! Our hearts go to all effected by #Sandy let us know if we can help,giladdevries
1379,True,That broken crane is dangling from the tallest residential building in NY right outside CNN in NY. Alarming. #Sandy http://t.co/wjNYlCzl,teenieburke
1380,,Obama: Focus is on Sandy not election. http://t.co/tX0gBVOd,LoganEarnest1
1381,,SpÃ­Â©ciale @guybirenbaum #TheDayAfter #Sandy #nyc #Frankenstorm #Superstorm #Aftermath http://t.co/OaZlVFTM,MyOwnView1
1382,,Whoever made the hurricane sandy accounts need to stop. Annoying af,Nahum_23
1383,,#Sandy como HuracÃ­Ã§n destrozÃ­_ Cuba y HaitÃ­_ pero para la GRAN PRENSA ÂŒÃ§Eso no VALE! #Sandy llego como Tormenta a USA y si VALE para la PRENSA,Amado_Ramirez
1384,,What if Gangnam Style is a rain dance?! #NYC #Sandy,iambeano
1385,,@serperort: El huracÃ­Ã§n #Sandy lleva un tiburÃ­_n a las calles de New Jersey ( @SSantiagosegura ) http://t.co/Kbrvqba0,Josedlsg
1386,,Lenox Lounge 124th & Lenox Ave. 2:34pm. #nyc #daybyday #copyright2012 #harlem #hurricane #sandy #windows http://t.co/D9AKtEKf,Jewel_Elizabeth
1387,,Chris Christie: President Obama Ã¤Ã³Ã–Has Been GreatÃ¤Ã³Â» And Ã¤Ã³Ã–All OverÃ¤Ã³Â» Hurricane #Sandy http://t.co/qUIiMRXm,DivaUSA
1388,,Top story: Double Rainbow Shines in NYC After Superstorm Sandy http://t.co/6I6NKCzr see more http://t.co/dAAlBSpY,dbhasin
1389,,Sandy leaves 39 dead 8.2 million without power in US - CBC.ca: CBC.caSandy leaves 39 dead 8.2 million without power in USCBC.caUpda...,GoogleNewsRss
1390,,And most importantly we didn't lose power :) #sandy #nyc #gladtobeinharlem,__KElizabeth
1391,,@styleslikesbutt: @Real_Liam_Payne hey Liam can I get a hello before Hurricane Sandy gets me ?! 3,styleslikesbutt
1392,,Current Flood Events - Hurricane #Sandy and more . http://t.co/wZ93OJPN,LUIS_CASTRO_NYC
1393,,Good to know. RT @BuzzEdition: Ã¤__9 Viral Photos That AREN'T Hurricane Sandy http://t.co/WU0pZO8o via @BuzzFeed,Jamieprints
1394,,@theking001 @felixvictorino @laluzjose. Si se mete Sandy como en NYC no queda Barquita. Aprende eso. Cualquier lluvia inunda #RD NoEsLoMismo,golo1000
